DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ANAPU,Amazônia,12.0,0.0,0.95,-3.39517,-51.2422,14.4
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,CALÇOENE,Amazônia,16.0,0.1,0.84,2.32032,-50.78591,8.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,9.0,0.0,1.0,-3.7086,-50.61168,6.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ACARÁ,Amazônia,5.0,3.3,0.25,-1.94527,-48.26007,11.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVA ESPERANÇA DO PIRIÁ,Amazônia,3.0,0.0,0.9,-2.48021,-46.56902,121.8
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ALMEIRIM,Amazônia,5.0,0.87,0.65,-1.31202,-51.96917,7.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BAIÃO,Amazônia,11.0,0.0,0.95,-3.63322,-49.89918,67.6
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,CHAVES,Amazônia,15.0,1.25,0.75,0.03171,-49.89788,16.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ACARÁ,Amazônia,6.0,0.0,0.76,-2.38781,-48.62602,40.2
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,MAZAGÃO,Amazônia,-999.0,1.46,0.8,-0.39012,-51.51797,16.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ACARÁ,Amazônia,5.0,4.4,0.2,-1.9652,-48.3972,52.1
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,PORTO DE MOZ,Amazônia,14.0,1.95,0.66,-1.92946,-52.99126,43.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,CAMETÁ,Amazônia,5.0,1.62,0.86,-2.21564,-49.66606,14.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,15.0,0.0,0.81,-3.18072,-51.16613,104.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,14.0,0.0,1.0,-3.52884,-50.77409,6.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,16.0,0.0,0.77,-3.18995,-51.16478,49.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,10.0,0.0,0.97,-3.42644,-49.99619,18.9
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,MAZAGÃO,Amazônia,6.0,0.1,0.89,-0.30212,-51.79958,7.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,VISEU,Amazônia,6.0,0.2,0.92,-1.81444,-46.65039,114.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BAIÃO,Amazônia,8.0,0.0,0.37,-2.9594,-49.57989,396.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,AMAZONAS,BOA VISTA DO RAMOS,Amazônia,5.0,0.0,0.34,-3.2166,-57.58034,47.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,CENTRO NOVO DO MARANHÃO,Amazônia,6.0,0.0,1.0,-2.42413,-46.32906,38.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,8.0,0.0,0.54,-2.95812,-49.5711,10.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RURÓPOLIS,Amazônia,5.0,0.0,0.97,-3.99963,-54.76901,52.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,8.0,0.0,0.78,-2.71715,-47.54759,7.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,AMAZONAS,BOA VISTA DO RAMOS,Amazônia,5.0,0.0,0.34,-3.21901,-57.6039,41.8
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,GURUPÁ,Amazônia,5.0,1.94,0.38,-1.30572,-51.59676,9.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,6.0,0.0,0.59,-2.10332,-50.73854,9.7
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,MONTE ALEGRE,Amazônia,0.0,0.0,0.63,-1.27768,-54.54594,59.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,15.0,0.0,0.97,-4.09358,-54.07304,31.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,OEIRAS DO PARÁ,Amazônia,-999.0,1.9,0.24,-2.00671,-50.07479,22.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,25.0,0.43,0.94,-2.45761,-53.62613,215.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOCAJUBA,Amazônia,5.0,0.78,0.27,-2.51897,-49.33733,11.9
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ÓBIDOS,Amazônia,8.0,0.0,0.67,-1.68601,-55.45214,54.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,AVEIRO,Amazônia,4.0,0.0,0.51,-3.61631,-55.46653,36.4
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ORIXIMINÁ,Amazônia,4.0,0.0,0.69,-1.40758,-55.8675,31.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MARABÁ,Amazônia,2.0,0.0,1.0,-5.58521,-49.4246,7.4
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,VITÓRIA DO JARI,Amazônia,5.0,2.73,0.4,-1.09238,-51.8961,34.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ANAPU,Amazônia,11.0,0.0,0.7,-3.05099,-51.34645,22.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ABAETETUBA,Amazônia,4.0,8.54,0.05,-1.8288,-48.91534,10.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,14.0,0.0,1.0,-4.06845,-50.67858,13.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,ARAME,Amazônia,7.0,0.0,1.0,-4.84108,-45.77616,26.0
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,CALÇOENE,Amazônia,16.0,0.07,0.95,2.3216,-50.77713,5.5
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,PRACUÚBA,Amazônia,14.0,0.0,0.83,1.67548,-50.71094,10.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,5.0,0.0,1.0,-4.84526,-50.4976,70.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,5.0,10.15,0.09,-2.24631,-51.72114,10.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,5.0,0.02,0.89,-2.455,-48.14807,35.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,3.0,0.0,0.56,-4.61873,-48.48573,8.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,TURILÂNDIA,Amazônia,23.0,0.0,1.0,-2.12409,-45.61316,14.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,20.0,0.2,0.94,-3.57831,-52.00552,6.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,CAMETÁ,Amazônia,4.0,3.33,0.78,-2.1116,-49.58934,10.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVA ESPERANÇA DO PIRIÁ,Amazônia,4.0,0.0,0.9,-2.48182,-46.57985,165.6
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,MAZAGÃO,Amazônia,-999.0,1.47,0.7,-0.39151,-51.52742,16.9
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ORIXIMINÁ,Amazônia,4.0,2.48,0.2,-0.84959,-57.65823,206.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,4.0,0.0,0.59,-4.26848,-48.55286,9.8
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,PORTO DE MOZ,Amazônia,15.0,0.4,1.0,-1.73585,-52.78316,17.2
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ALMEIRIM,Amazônia,18.0,1.05,0.66,-1.0294,-53.55952,21.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,8.0,0.0,0.88,-2.71857,-47.55717,11.6
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,AMAPÁ,Amazônia,13.0,0.0,1.0,1.96424,-50.94305,9.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,10.0,0.0,1.0,-3.49978,-53.84675,23.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,26.0,0.0,0.95,-3.75042,-52.27189,50.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,15.0,0.0,1.0,-3.22343,-54.08961,18.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,20.0,0.16,0.91,-3.59931,-52.01345,104.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ITUPIRANGA,Amazônia,12.0,0.0,0.65,-5.24974,-50.0384,85.4
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ALMEIRIM,Amazônia,16.0,2.02,0.55,-1.09183,-53.6461,12.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,9.0,0.0,0.46,-3.10683,-49.51022,61.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazônia,5.0,0.0,0.28,-3.05315,-56.95568,22.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,SANTA LUZIA,Amazônia,6.0,2.35,0.96,-4.32865,-45.91376,49.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,8.0,0.0,1.0,-4.51442,-50.43925,9.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,4.0,0.0,0.66,-4.61681,-48.03373,8.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,14.0,0.0,0.96,-3.96379,-50.71556,5.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,4.0,0.0,0.74,-4.26784,-48.36265,9.7
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,18.0,0.0,1.0,-1.67186,-53.76593,25.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,5.0,1.2,0.51,-2.12414,-51.009,8.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,7.0,0.0,0.89,-3.505,-50.28778,12.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ULIANÓPOLIS,Amazônia,9.0,0.0,0.99,-3.69888,-47.12466,14.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,7.0,0.0,0.59,-3.31381,-50.11618,36.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,19.0,0.0,0.92,-3.78032,-51.82671,21.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,5.0,0.0,0.85,-4.26028,-50.84793,11.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,15.0,0.0,1.0,-3.2617,-53.64113,29.8
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,GURUPÁ,Amazônia,5.0,6.91,0.1,-0.81856,-51.60901,9.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,6.0,0.35,0.72,-2.76008,-48.64697,95.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BOM JESUS DO TOCANTINS,Amazônia,5.0,0.0,0.63,-4.82496,-48.69537,5.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,14.0,0.0,1.0,-2.64721,-53.35957,304.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BAIÃO,Amazônia,5.0,0.0,0.28,-2.80645,-49.59991,23.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RURÓPOLIS,Amazônia,4.0,0.13,0.05,-4.49562,-55.57246,36.2
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,MONTE ALEGRE,Amazônia,0.0,0.0,0.62,-1.26637,-54.54746,23.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,15.0,0.31,0.97,-2.56385,-53.41644,482.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,15.0,0.3,0.97,-2.55144,-53.40508,1277.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,5.0,0.0,0.9,-3.96148,-51.26474,11.1
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,CURUÁ,Amazônia,5.0,0.2,0.6,-1.41948,-55.39468,189.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazônia,5.0,0.0,0.52,-3.04911,-56.96311,26.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MARABÁ,Amazônia,2.0,0.0,1.0,-5.67785,-49.75044,18.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,16.0,0.0,1.0,-3.54447,-54.08657,10.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,25.0,0.37,0.95,-2.44184,-53.62041,12.5
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ÓBIDOS,Amazônia,11.0,0.0,0.82,-1.76254,-55.34373,28.4
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,18.0,0.0,0.99,-1.51534,-53.51049,12.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,GOIANÉSIA DO PARÁ,Amazônia,7.0,0.0,1.0,-4.03818,-48.876,31.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,2.0,1.01,0.34,-4.07792,-50.03201,16.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,14.0,0.3,0.96,-2.54089,-53.40661,159.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ANAPU,Amazônia,12.0,0.0,0.84,-3.3966,-51.25199,15.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,CAMETÁ,Amazônia,5.0,3.65,0.22,-2.17006,-49.5384,13.6
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,OIAPOQUE,Amazônia,3.0,0.0,0.15,3.89622,-51.74445,5.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,IGARAPÉ-MIRI,Amazônia,5.0,4.58,0.15,-2.33832,-49.17893,15.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,15.0,0.0,0.9,-3.17932,-51.15646,7.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BAIÃO,Amazônia,11.0,0.0,0.81,-3.6408,-49.88896,32.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,SÃO FRANCISCO DO BREJÃO,Amazônia,4.0,0.17,0.85,-5.2812,-47.28467,14.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PLACAS,Amazônia,5.0,0.0,0.81,-3.6388,-54.68085,42.0
2024/12/01 17:45:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazônia,5.0,0.0,0.73,0.90135,-59.46404,82.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,5.0,20.94,0.0,-2.18672,-48.83826,74.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,26.0,0.0,0.95,-3.74885,-52.26073,12.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BOM JESUS DO TOCANTINS,Amazônia,5.0,0.0,0.91,-4.82367,-48.68657,5.9
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,MAZAGÃO,Amazônia,5.0,0.92,0.85,-0.33718,-51.60309,16.7
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,MELGAÇO,Amazônia,5.0,5.73,0.17,-1.77538,-50.89495,52.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,4.0,0.2,1.0,-4.40704,-48.23856,10.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,BOM JESUS DAS SELVAS,Amazônia,5.0,0.0,0.83,-4.66778,-46.88213,104.9
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,VITÓRIA DO JARI,Amazônia,5.0,3.9,0.29,-1.00477,-51.81792,6.2
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ORIXIMINÁ,Amazônia,4.0,0.0,0.53,-1.3686,-55.87983,40.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,15.0,0.0,1.0,-2.62796,-53.37545,2539.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ITUPIRANGA,Amazônia,10.0,0.0,1.0,-5.00601,-49.88165,6.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,CIDELÂNDIA,Amazônia,3.0,0.0,0.24,-5.23399,-47.8336,16.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,SANTA LUZIA,Amazônia,7.0,3.29,0.97,-4.32211,-45.93752,29.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,6.0,0.0,0.98,-2.75976,-47.8988,10.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,BREJO DE AREIA,Amazônia,6.0,0.0,1.0,-4.43628,-45.54226,114.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,SANTA LUZIA,Amazônia,5.0,2.39,0.94,-4.35185,-45.93343,12.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,GOVERNADOR NUNES FREIRE,Amazônia,61.0,0.2,1.0,-1.88639,-45.82712,24.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,15.0,0.0,1.0,-2.97632,-53.88463,33.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BRASIL NOVO,Amazônia,16.0,0.0,0.96,-2.83343,-52.58621,12.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,14.0,0.0,0.86,-3.3941,-50.79636,5.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PLACAS,Amazônia,5.0,0.0,0.87,-3.75399,-54.50791,28.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVA IPIXUNA,Amazônia,5.0,0.0,0.86,-4.757,-49.31097,8.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,BOA VISTA DO GURUPI,Amazônia,31.0,0.0,1.0,-1.75237,-46.29184,49.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,5.0,10.8,0.17,-2.06156,-48.67122,7.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,ARAME,Amazônia,7.0,0.0,0.94,-4.80207,-45.78797,22.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,13.0,0.0,0.78,-3.12768,-51.12457,7.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,10.0,0.0,1.0,-4.40385,-50.82473,9.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RURÓPOLIS,Amazônia,4.0,0.1,0.05,-4.4941,-55.56594,26.6
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAZONAS,NHAMUNDÁ,Amazônia,5.0,0.41,0.49,-2.30648,-57.09039,62.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,TUCURUÍ,Amazônia,4.0,0.2,0.4,-4.02585,-49.93604,6.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,BURITICUPU,Amazônia,12.0,0.68,0.94,-4.42494,-46.29158,49.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,2.0,16.64,0.0,-4.45043,-49.67887,57.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,4.0,0.0,0.93,-4.59105,-50.64897,15.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BAIÃO,Amazônia,11.0,0.0,0.79,-3.63193,-49.89027,22.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,4.0,0.0,0.84,-4.7802,-48.65453,19.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,5.0,1.06,0.78,-2.42205,-48.0493,22.6
